Contribution Address,STABLES Contribution,DOT EQUIV AT OTC TRADES,TokenSymbol
0x9fa26008fe5769b23682e9d8d5d7968bbb91c01a,"2,022",74.34014846,USDC
0x187b1ad9ba9179060d02b9ac0f4ba74757f519d2,"1,000",36.76565206,USDT
0x6f4dcd9ed452162e21d769e110dfd0a5baaa300f,500,18.38282603,USDT
0x8d3e7f6ca6404d2575ac20215f60b74c0c1b210c,101,3.713330858,USDT
0xcb114805b901f7a9c38d5675272ef26459a7d805,"10,000",367.6565206,USDC
0x818de034fd2d32238c05a636f687f17e46e9a62d,368.32,13.54152497,USDT
0xea67521ba195bf490a5664497fd7b6f5bc0685c8,30,1.102969562,USDC
0x0c593dd4642da8e7500abfe868a064b7d220d69e,"2,300",84.56099973,USDC
0xfdf7f859807d1dc73873640759b2706822802529,863,31.72875773,USDC
0x5e3ac570d4b55c587a36a2832ac35a1ee60a0e03,500,18.38282603,USDT
0xd5abb1633cf3e784578ba65e3d8f4902b2e181a5,"2,796.22",102.8048328,USDT
0xff8afdac75954d212f309c090f502f10f6256034,10,0.3676565206,USDC
0xa785f483bd914a5c5ba06ab1ff12d8a8de1ea781,"1,030",37.86862162,USDC
0x3f0556c7aa60f3a0201538bb37ac0a771ab22ac2,358.249231,13.17126658,USDT
0x4c59cea94ee8b05bd851af1bf9d243ba585e2962,10,0.3676565206,USDC
0x19eff04ddeea89d0762c80e5d3c9369e00a9fce4,"3,003.63",110.4305599,USDC
0x14f3aa982b2761188661be9744556fcc552f6b99,"2,000",73.53130411,USDC
0x8357063c3ec4190a6cbb3500b2650faf7da14213,300,11.02969562,USDC
0x468d1ef7a1204d592537dab35794aac640c97505,"1,000",36.76565206,DAI
0xeccea248210854d223c71814e4b9f5d1f1228ab6,500,18.38282603,DAI
0xeccea248210854d223c71814e4b9f5d1f1228ab6,500,18.38282603,DAI
0x6d94be0093b2318c1e3e5f3293216e60a7d906a2,275,10.11055432,USDT
0x5defe4f60965528030ee48bba305ed017ab84998,20,0.7353130411,USDC
0x0d734a787dfbadf4916b858d939aae0a9eeef4e2,"10,090.54",370.9851498,USDT
0x597c1ab2f0dc3b5fa6b1fbcd08c65f6e0e60c5c9,"20,578.67",756.5881657,USDC
0x197305c1f2266dfcfffe52dea4b2b6ed2ec7d3b7,"2,000",73.53130411,USDC
0xed0bd7f319cd03539cbd3b5c592cae91a349dbae,"14,524.07",533.9868689,USDC
0xf5137a7658d2253035542fb32f5b41353bf85c37,"2,500",91.91413014,USDC
0xee61b8fc63f9b0d4a212ac08fde361a4b43aaa13,50,1.838282603,DAI
0xa3d1dff544a1f039bcf1480a625b21b3d1ea0a2a,37.967727,1.39590824,USDT
0x8e2f7d5aaae5abbd5052acb74019b9b11cb74349,630.682018,23.18743563,USDC
0x08650d08ed7659ac18936f6e4ec6936cdb032dc9,"2,405.15",88.42702838,USDT
0x1b2257148bad3936c72854d9c709bd558ba0f5cd,"4,875.84",179.2634585,USDT
0x602901433ff21cbc7cb849f60a1bb92144a7c875,"1,000",36.76565206,USDC
0xeac87e08cde36ae9190d6e839256f1d56fff7161,116,4.264815639,USDT
0x123bcdffc5cc7fdd30a9a2fcd99d4897a6bf41ae,923.280706,33.94501719,USDC
0x8d124e465110559d0a37bd722de722fff10fca84,250,9.191413014,USDC
0x55f3be904e3742018515498e42a74c71bb94f4bc,650,23.89767384,USDT
0x7bcd6813c782fef10795493604f5a1da761b3f1b,"100,000",3676.565206,USDT
0x1af36325e7745cb77afad9f40c831b26d9f0324a,50,1.838282603,USDC
0x594df8342f931edbad3361e1b1ebc52412c2a373,499.58,18.36738445,USDT
0x474e05530a7b1d798ff445f65512522a31733ac0,964,35.44208858,USDT
0x474e05530a7b1d798ff445f65512522a31733ac0,"6,036.92",221.9511444,USDT
0xf916719c7251e109cf3d1a977b6cad198b630c32,10,0.3676565206,USDT
0xcc6f9d24e393569b600f89144dcc8df6ba7f3264,50,1.838282603,DAI
0xcc6f9d24e393569b600f89144dcc8df6ba7f3264,309.32097,11.37238716,DAI
0x43ffbf682b61d1a8d7c3235eb724775c5d8479d1,"10,000",367.6565206,USDC
0xc4cd57b06c9f735abd6240a2683026e308f716c7,"5,000",183.8282603,DAI
0x45645c8edd908a5143a1c0132ffd93324a431c52,"4,400",161.7688691,USDC
0x8f3d7c5cf34d33df17627091ca16f129e91395f5,1.5,0.05514847809,USDC
0x8722f82d6eadab966003bcde58a24c26baa1040f,191.28,7.032533926,USDC
0x18054743197d5de28ec96d60429372391c8b9dae,186,6.838411283,USDT
0x40d0a4d62ae30b732d50641f51b8e4e2fb937c73,71.547968,2.630507697,USDT
0x5a4c25d949621e80f2fc143122368a2dbb8f9af2,"2,001.49",73.58601041,DAI
0x14a32f53ba00e207939d7842d45b1b3a105644b0,996.447053,36.63502564,USDT
0x8f3d7c5cf34d33df17627091ca16f129e91395f5,4,0.1470626082,USDC
0x3084c7d27a5499b8b244d4b27ab7870d64756dbe,23.099917,0.849283511,USDT
0x29ba9df564c47b18e3e1cc8abe649049d770b910,3.987219,0.1465927064,USDC
0x1c20551bb64441bbd423a04fc52c326fa9b37af3,100,3.676565206,DAI
0x1c20551bb64441bbd423a04fc52c326fa9b37af3,100,3.676565206,DAI
0x602901433ff21cbc7cb849f60a1bb92144a7c875,"1,209.38",44.46353447,USDC
0xb189d81ab34fc4948c0ae930124508f10f1f2a47,227,8.345803017,USDT
0xa535d4751d3f6a83df1fff7c787b9ac396e93a20,"1,047.14",38.49862147,USDC
0x39cc43b3068a208ae87042f927fb53b85586c654,51,1.875048255,USDC
0xc5b46513ea71294ba740e115f88b697c26d25c8b,"2,436.56",89.58175883,USDC
0x9ab9936f7a43226f5e2dcdcd3a909920aac134e7,75,2.757423904,DAI
0x805fe2c09a181b174f9f2bd27e8a1d56c3636579,"1,000",36.76565206,USDC
0x39336391ae3438212b6a25cf7c898826bad882f9,"2,301.27",84.60765009,USDC
0x81208d87db9a7ec9bf6b24d74989485bcc3aac81,"1,025.53",37.70412536,USDC
0x69cd8d3a9bac2955e7074c566ab70d0c51aa52c2,"22,398.86",823.5085563,USDC
0xb3e52264a1240285f0a908401e780b5681e1a3fe,281.435388,10.34715555,USDC
0x445bb876d03d5fb688f4dd36ef98d70943fa9608,"2,000",73.53130411,USDT
0x04f0591cdce1065dd215c9cce9c63bed638fe4d9,"1,842.89",67.75517403,USDC
0x805fe2c09a181b174f9f2bd27e8a1d56c3636579,"1,000",36.76565206,USDC
0x86632848578699919df3944fba490a614ed762a3,"20,000",735.3130411,USDC
0xe81f8367d8682ef38ac09acec6f4d4031f8b83bb,500,18.38282603,USDC
0xfc414daf238a3cbea641f9eed8959ca6adaee3fd,"1,000",36.76565206,USDC
0x53bfb55d7a66b4c4f02d6c0541736871022adc1b,"1,000",36.76565206,USDC
0xe492fba4b94e5012db2ae396282ccfc1e13efaab,300,11.02969562,USDC
0xa7ce3afb4ca212c93d2b11f085e88d529bdd98c9,"2,800.37",102.9572848,DAI
0xaa99bd457c7722f8907fde057b394eb2c6259bff,"1,250",45.95706507,USDC
0xd2d6ad06a6aab4f64fe32b0ee7bbf328a926af07,"8,332.42",306.3468683,USDC
0x9d87d0be638c83f006b209b91fc876047391617e,212.30814,7.805647204,USDC
0x56e25f7082d893f3c2d4f98b81e0a4381bcdd77b,"3,513.58",129.1791923,USDC
0x4ada5227e164a37a0183ec6ce93222232f6a00f1,"48,129.88",,DAI
0x4ada5227e164a37a0183ec6ce93222232f6a00f1,"157,807.42",,USDT
0x4ada5227e164a37a0183ec6ce93222232f6a00f1,"252,795.77",,USDC
0xac516cfc8a5170b4d003312adbade589f4e93ece,"50,000",1838.282603,USDC
0x6a3994212ae1e1726660cb5164641a23e008da21,311,11.43411779,DAI
